net,length_um
_0533_,8.82µm
_0638_,8.82µm
u_fifo.mem\[10\]\[2\],8.82µm
_0488_,8.8µm
u_fifo.mem\[3\]\[2\],8.785µm
_0409_,8.78µm
_0603_,8.78µm
u_srf_ctrl.echo_counter\[7\],8.78µm
_0609_,8.7µm
_0376_,8.62µm
_0702_,8.62µm
net215,8.6µm
_0468_,8.58µm
net178,8.56µm
_0535_,8.54µm
u_fifo.mem\[12\]\[6\],8.54µm
_0275_,8.52µm
_0600_,8.5µm
u_fifo.mem\[10\]\[0\],8.5µm
net118,8.5µm
_0675_,8.48µm
_0562_,8.44µm
u_fifo.mem\[5\]\[2\],8.44µm
u_uart.clk_count\[13\],8.44µm
net221,8.44µm
u_fifo.mem\[11\]\[5\],8.415µm
_0356_,8.4µm
_0375_,8.4µm
_0671_,8.4µm
_0687_,8.4µm
_0696_,8.38µm
net259,8.38µm
_0110_,8.365µm
_0501_,8.36µm
_0048_,8.28µm
_0265_,8.26µm
_0565_,8.24µm
_0604_,8.24µm
_0214_,8.16µm
_0000_,8.14µm
net269,8.14µm
_0723_,8.06µm
_0315_,8.04µm
_0601_,8.04µm
_0642_,7.98µm
_0653_,7.98µm
_0369_,7.96µm
_0480_,7.94µm
_0431_,7.9µm
_0705_,7.9µm
u_packet_assembler.timer\[23\],7.9µm
_0008_,7.885µm
net126,7.88µm
u_fifo.mem\[4\]\[5\],7.86µm
_0354_,7.84µm
u_fifo.mem\[13\]\[0\],7.84µm
net93,7.84µm
_0040_,7.82µm
_0260_,7.82µm
net101,7.8µm
u_fifo.mem\[2\]\[5\],7.78µm
u_fifo.mem\[8\]\[1\],7.76µm
_0421_,7.72µm
_0523_,7.7µm
_0027_,7.68µm
_0253_,7.68µm
u_srf_ctrl.echo_sync_0,7.68µm
net248,7.68µm
net256,7.68µm
_0669_,7.64µm
_0319_,7.6µm
_0470_,7.56µm
_0496_,7.56µm
_0622_,7.56µm
u_fifo.mem\[2\]\[2\],7.56µm
net151,7.56µm
net241,7.56µm
net246,7.56µm
net260,7.54µm
u_fifo.mem\[15\]\[6\],7.52µm
_0689_,7.46µm
net216,7.46µm
u_fifo.mem\[11\]\[4\],7.44µm
net80,7.42µm
net107,7.42µm
u_packet_assembler.timer\[21\],7.4µm
_0412_,7.34µm
net249,7.34µm
_0299_,7.32µm
_0515_,7.32µm
_0626_,7.32µm
u_fifo.mem\[0\]\[4\],7.32µm
u_packet_assembler.timer\[20\],7.3µm
_0495_,7.24µm
net254,7.24µm
fifo_dout\[6\],7.22µm
u_fifo.mem\[1\]\[4\],7.2µm
_0617_,7.18µm
u_fifo.mem\[6\]\[0\],7.18µm
u_fifo.mem\[11\]\[1\],7.16µm
_0676_,7.14µm
_0662_,7.12µm
_0415_,7.1µm
_0688_,7.1µm
fifo_din\[2\],7.1µm
u_fifo.mem\[6\]\[7\],7.1µm
net124,7.1µm
net143,7.1µm
_0359_,7µm
u_fifo.mem\[12\]\[2\],6.98µm
u_fifo.mem\[13\]\[4\],6.98µm
u_fifo.mem\[2\]\[6\],6.98µm
net280,6.98µm
_0592_,6.94µm
_0377_,6.92µm
_0086_,6.88µm
_0402_,6.88µm
_0580_,6.88µm
net97,6.88µm
_0079_,6.86µm
_0460_,6.86µm
_0128_,6.825µm
_0344_,6.78µm
_0505_,6.78µm
_0030_,6.76µm
_0278_,6.76µm
u_fifo.mem\[9\]\[6\],6.76µm
_0659_,6.74µm
_0661_,6.74µm
u_fifo.mem\[0\]\[7\],6.74µm
_0093_,6.72µm
_0314_,6.72µm
_0436_,6.72µm
_0472_,6.72µm
_0666_,6.72µm
net203,6.72µm
_0170_,6.705µm
u_fifo.mem\[4\]\[0\],6.695µm
_0564_,6.66µm
_0227_,6.645µm
_0700_,6.64µm
u_fifo.mem\[10\]\[7\],6.64µm
net146,6.64µm
net179,6.64µm
_0703_,6.62µm
_0530_,6.6µm
u_uart.clk_count\[6\],6.6µm
net87,6.6µm
net89,6.6µm
net157,6.5µm
u_fifo.mem\[6\]\[5\],6.495µm
u_fifo.rd_ptr\[4\],6.48µm
_0146_,6.465µm
_0652_,6.46µm
_0684_,6.44µm
net154,6.42µm
net243,6.42µm
_0034_,6.4µm
distance_out\[1\],6.4µm
u_fifo.mem\[15\]\[7\],6.4µm
net173,6.4µm
_0655_,6.39µm
_0273_,6.38µm
_0618_,6.38µm
net266,6.38µm
_0162_,6.365µm
_0230_,6.365µm
_0695_,6.32µm
_0002_,6.3µm
u_fifo.mem\[15\]\[2\],6.3µm
net177,6.3µm
u_fifo.mem\[0\]\[1\],6.28µm
u_fifo.mem\[1\]\[6\],6.265µm
_0374_,6.26µm
_0446_,6.26µm
_0479_,6.26µm
_0625_,6.26µm
_0152_,6.225µm
_0204_,6.225µm
net234,6.2µm
_0482_,6.18µm
net5,6.18µm
net140,6.18µm
net198,6.18µm
_0547_,6.16µm
u_fifo.mem\[7\]\[5\],6.16µm
_0212_,6.14µm
net99,6.14µm
net136,6.14µm
net137,6.08µm
net163,6.08µm
net180,6.08µm
_0586_,6.06µm
u_fifo.mem\[3\]\[3\],6.06µm
net158,6.06µm
net134,6.04µm
net275,5.98µm
_0246_,5.94µm
_0289_,5.94µm
_0487_,5.94µm
distance_out\[3\],5.94µm
u_fifo.mem\[10\]\[5\],5.94µm
u_fifo.mem\[10\]\[6\],5.94µm
u_fifo.mem\[7\]\[6\],5.94µm
u_srf_ctrl.echo_sync_1,5.94µm
net6,5.94µm
_0434_,5.92µm
_0574_,5.92µm
_0191_,5.865µm
_0097_,5.86µm
_0455_,5.86µm
_0589_,5.86µm
